_r,_RAJ2000,_DEJ2000,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP
1.7843,132.8457834822878,11.7782777521428,0.9527,-11.072,-2.872,18.315613,19.372425,17.317163,2.055262,1.056812,0.998449
1.7904,132.8552912250707,11.8037747031643,1.166,-10.95,-2.882,13.985338,14.353739,13.454699,0.89904,0.368401,0.53064
1.8106,132.7975395175625,11.786393839893,0.9531,-10.774,-3.276,17.476074,18.654343,16.404413,2.249929,1.178268,1.071661
1.8375,132.8357228866313,11.7712256109801,1.173,-11.099,-3.118,12.782083,13.013401,12.40771,0.605691,0.231318,0.374372
1.8515,132.8557229017303,11.7928529961943,1.0056,-12.803,-1.869,12.390759,12.693912,11.926642,0.76727,0.303153,0.464117
1.8751,132.8569257114511,11.7982584080892,-0.0284,-10.922,-4.545,20.282343,21.208635,19.153534,2.055101,0.926292,1.128809
1.9138,132.8186308574801,11.7687404388813,1.0998,-10.735,-2.904,18.856638,19.902517,17.776217,2.126301,1.045879,1.080421
1.9533,132.8223415962571,11.7675659939613,1.1107,-11.105,-2.843,13.777426,14.079677,13.314447,0.765229,0.302251,0.462978
1.977,132.8539573703535,11.8168889386563,1.2258,-9.848,-3.257,13.094708,13.39815,12.630242,0.767907,0.303441,0.464466
1.9976,132.7954306927609,11.8163906692557,1.612,-10.004,-3.356,15.663502,16.209772,14.886716,1.323056,0.54627,0.776786
2.0098,132.8583799863089,11.8075976584198,1.0782,-10.67,-3.272,17.290304,18.146122,16.384066,1.762056,0.855818,0.906239
2.0104,132.7921937482236,11.8094159590356,0.4616,-10.527,-2.778,19.622084,20.882513,18.538702,2.343811,1.260429,1.083382
2.012,132.8226337143562,11.8334659292027,0.9689,3.281,-2.72,19.288366,20.46062,18.300919,2.159702,1.172255,0.987448
2.0174,132.835628361107,11.7680250304398,1.1452,-11.189,-3.225,13.042321,13.337784,12.584518,0.753266,0.295463,0.457804
2.0197,132.7937708991958,11.7859091496197,,,,21.53117,20.361877,18.95844,1.403437,-1.169292,2.572729
2.0389,132.8464492620928,11.7732647724662,1.5151,-5.095,-0.278,19.372047,20.677252,18.26103,2.416222,1.305204,1.111017
2.0455,132.8561900541997,11.8152831479637,0.9809,-11.067,-2.978,16.957205,17.85862,15.9981,1.860519,0.901415,0.959105
2.0612,132.857673152673,11.8126822722423,1.1015,-11.174,-3.282,15.847855,16.403856,15.150593,1.253264,0.556002,0.697262
2.0677,132.805827411066,11.7711124522517,-0.466,-3.145,-1.481,19.120758,19.681833,18.520239,1.161594,0.561075,0.600519
2.0868,132.8398502925929,11.7683934428227,1.1829,-10.96,-2.618,11.146684,11.678301,10.462817,1.215484,0.531617,0.683867
2.0937,132.8239382815183,11.8348898369729,0.975,-10.557,-2.674,13.35867,13.65143,12.904737,0.746693,0.29276,0.453933
2.0968,132.8249657327728,11.7650645743651,0.4388,-10.949,-2.481,12.604912,12.872219,12.132344,0.739875,0.267307,0.472568
2.1095,132.8292363328195,11.8349321616525,1.1486,-10.925,-2.976,12.390369,12.694798,11.925044,0.769754,0.304429,0.465325
2.119,132.7898328543083,11.8077948956109,-0.8021,-5.715,-3.347,20.017391,20.928171,19.094862,1.833309,0.91078,0.922529
2.1599,132.8012286782586,11.7725875174136,1.1772,-10.928,-2.938,13.054901,13.360868,12.586631,0.774238,0.305967,0.46827
2.1609,132.8047668591308,11.7699654039327,0.9253,-11.56,-2.546,19.429499,20.794516,18.246544,2.547972,1.365017,1.182955
2.1708,132.8207548374903,11.8359552198106,1.324,-9.833,-4.263,13.037514,13.319734,12.601793,0.71794,0.28222,0.43572
2.1726,132.7885193384202,11.8057366130286,1.1881,-10.072,-3.019,13.22975,13.521301,12.778492,0.742809,0.291552,0.451258
2.2005,132.8347083417975,11.7645781848568,1.1986,-10.868,-2.967,13.010176,13.301405,12.558413,0.742992,0.291229,0.451763
2.2361,132.8033054326445,11.8306477429131,1.0063,-3.411,-6.872,18.711836,19.67086,17.769703,1.901157,0.959024,0.942133
2.2401,132.8224015978702,11.8372581908612,2.1327,-10.26,-2.76,20.246178,20.875565,19.072254,1.80331,0.629387,1.173923
2.2426,132.8273828323271,11.8373195616088,1.1617,-10.93,-2.929,15.270044,15.823313,14.571344,1.251968,0.553268,0.6987
2.2432,132.8071656235475,11.8330291003286,1.0033,-4.731,4.5,14.16571,14.448576,13.719557,0.729019,0.282866,0.446153
2.2573,132.8581384907413,11.8191562295609,1.1427,-11.285,-2.668,13.090845,13.384382,12.638405,0.745977,0.293537,0.45244
2.2611,132.8617432297487,11.811254406122,,,,10.818192,10.68668,9.934184,0.752496,-0.131512,0.884007
